Table 1
user_id,course_id,enrollment_type,enrollment_state,,,
40314,23409,student,active,,,
16291,75861,student,active,,,
41345,34290,student,active,,,
6156,22376,student,active,,,
9646,34290,student,active,,,
43745,15697,student,active,,,
10640,75861,student,active,,,
87134,23409,student,active,,,
15835,22376,student,active,,,
62610,34290,student,active,,,
44866,15697,student,active,,,
94198,75861,student,active,,,
68829,15697,student,active,,,
1575,22376,student,active,,,
58684,34290,student,active,,,
95916,15697,student,active,,,
33316,23409,student,active,,,
28772,23409,student,active,,,
80034,15697,student,active,,,
61209,15697,student,active,,,
78926,34290,teacher,active,,,
24035,15697,student,active,,,
52271,75861,student,active,,,
26701,15697,student,active,,,
14797,22376,student,active,,,
46872,23409,student,active,,,
78468,75861,student,active,,,
64054,34290,student,active,,,
85270,15697,student,active,,,
66768,15697,student,active,,,
69812,75861,student,active,,,
56857,34290,student,active,,,
5972,75861,student,active,,,
51292,15697,student,active,,,
69228,34290,student,active,,,
39135,22376,student,active,,,
57172,15697,student,active,,,
95627,23409,student,active,,,
60021,22376,student,active,,,
28973,34290,student,active,,,
87296,75861,student,active,,,
55835,15697,student,active,,,
38788,75861,student,active,,,
27643,15697,student,active,,,
75379,34290,student,active,,,
12686,23409,student,active,,,
20825,75861,student,active,,,
68139,22376,student,active,,,
48379,15697,student,active,,,
43811,23409,student,active,,,
15401,22376,student,active,,,
36014,75861,student,active,,,
28713,34290,student,active,,,
67180,22376,student,active,,,
88858,75861,student,active,,,
79075,15697,teacher,active,,,
90040,22376,student,active,,,
19606,15697,student,active,,,
66122,23409,student,active,,,
88821,23409,student,active,,,
56276,15697,student,active,,,
12464,15697,student,active,,,
87946,75861,student,active,,,
96493,22376,student,active,,,
71126,34290,student,active,,,
75725,75861,student,active,,,
82849,15697,student,active,,,
43891,23409,student,active,,,
80354,15697,student,active,,,
25756,22376,student,active,,,
72992,75861,student,active,,,
26623,15697,student,active,,,
83881,23409,student,active,,,
6804,22376,student,active,,,
8377,34290,student,active,,,
43616,15697,student,active,,,
95308,23409,student,active,,,
63326,15697,student,active,,,
5420,75861,student,active,,,
83248,23409,student,active,,,
28442,23409,student,active,,,
36873,23409,student,active,,,
99038,75861,student,active,,,
21300,34290,student,active,,,
89972,22376,student,active,,,
17417,75861,student,active,,,
21551,22376,student,active,,,
69120,22376,student,active,,,
34777,34290,student,active,,,
65392,34290,student,deleted,,,
38830,23409,student,active,,,
19798,15697,student,active,,,
85465,75861,student,active,,,
3371,34290,student,active,,,
27019,22376,student,active,,,
76480,75861,student,active,,,
46277,15697,student,active,,,
43130,22376,student,active,,,
66420,75861,student,active,,,
31259,23409,student,active,,,
73235,22376,student,active,,,
63048,23409,student,active,,,
81972,34290,student,active,,,
8306,22376,student,active,,,
68173,23409,student,active,,,
47907,15697,student,active,,,
48428,75861,student,active,,,
8300,75861,student,active,,,
10885,34290,student,active,,,
91271,22376,student,active,,,
30009,23409,student,active,,,
94782,34290,student,active,,,
21090,75861,student,active,,,
63718,15697,student,active,,,
75035,23409,student,active,,,
80299,23409,teacher,active,,,
25116,23409,student,active,,,
62594,75861,student,active,,,
13803,75861,student,active,,,
16413,15697,student,active,,,
23195,22376,student,active,,,
47263,23409,student,active,,,
47463,34290,student,active,,,
70572,75861,student,active,,,
11602,75861,student,active,,,
88696,23409,student,active,,,
47137,22376,student,active,,,
54675,75861,student,active,,,
22612,34290,student,active,,,
68532,15697,student,active,,,
80276,23409,student,active,,,
74795,15697,student,active,,,
98635,23409,student,active,,,
44999,34290,student,active,,,
6523,22376,student,active,,,
82748,75861,student,active,,,
69717,75861,student,active,,,
42018,34290,student,active,,,
51667,22376,student,active,,,
5951,15697,student,active,,,
94621,23409,student,active,,,
46091,15697,student,active,,,
41703,22376,student,active,,,
13951,23409,student,active,,,
99402,75861,student,active,,,
13121,34290,student,active,,,
44326,15697,student,active,,,
21187,23409,student,active,,,
67191,15697,student,active,,,
92440,23409,student,active,,,
99642,75861,student,active,,,
94952,34290,student,active,,,
24260,34290,student,active,,,
11733,22376,student,active,,,
6435,22376,student,active,,,
21259,22376,student,active,,,
74764,23409,student,active,,,
48690,75861,student,active,,,
16844,34290,student,active,,,
37355,23409,student,active,,,
45705,15697,student,active,,,
12389,22376,student,active,,,
66732,34290,student,active,,,
94909,75861,student,deleted,,,
21642,34290,student,active,,,
95856,23409,student,active,,,
19084,15697,student,active,,,
14093,75861,student,active,,,
65043,22376,student,active,,,
45131,34290,student,active,,,
4932,23409,student,active,,,
61750,22376,student,active,,,
72469,22376,student,active,,,
24735,75861,student,active,,,
67162,34290,student,active,,,
64061,15697,student,active,,,
28813,22376,student,active,,,
97336,75861,student,active,,,
70155,22376,student,active,,,
38625,23409,student,active,,,
99977,22376,teacher,active,,,
22392,34290,student,active,,,
38932,22376,student,active,,,
12712,23409,student,active,,,
24929,34290,student,active,,,
59476,15697,student,active,,,
26795,23409,student,active,,,
21125,15697,student,active,,,
37165,75861,student,active,,,
40939,22376,student,active,,,
88545,23409,student,active,,,
62146,34290,student,active,,,
77236,15697,student,active,,,
89721,75861,teacher,active,,,
3888,34290,student,active,,,
97615,22376,student,active,,,
52099,23409,student,active,,,
76188,22376,student,active,,,
28042,15697,student,active,,,
57995,23409,student,active,,,
